매장명,주소,전화번호,위도/경도
문정동환인제약빌딩점,서울특별시 송파구 법원로6길 11 환인빌딩 1층,02-449-9569,"['127.12225036929931', '37.48366344805654']"
새문안로점,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층",02-739-5806,"['126.9747617952', '37.5704868832']"
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층,02-2051-9328,"['127.0489159828', '37.5037729841']"
신용산역래미안점,서울시 용산구 한강대로95,02-2074-1049,"['126.9666528833', '37.5288190969']"
IFC MALL점,서울시 영등포구 국제금융로10 IFC Mall L2 층,02-6137-5056,"['126.924876706923', '37.5251775245928']"
응암동점,"서울시 은평구 은평로 121(응암동), 메디컬빌딩",02-389-6283,"['126.9210933403', '37.6004446486']"
논현201-5번지점,"서울특별시 강남구  강남대로112길 20 1층, 2층",02-541-9563,"['127.02605222215', '37.5055116110689']"
한티역디마크빌딩점,서울특별시 강남구 도곡로 408 디마크빌딩 1층,02-2052-6590,"['127.0552350053', '37.4966234189']"
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층,02-6484-5150,"['126.928065107', '37.5197450229']"
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층,02-2201-8953,"['127.0948964555', '37.5398571742']"
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)",02-994-8878,"['127.0257236595', '37.6390953704']"
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층",02-2058-3027,"['127.041675997', '37.4922392747']"
몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층",02-2141-0407,"['127.1127803263', '37.5169307868']"
종각역점,서울시 종로구 종로 70 2층,02-739-6268,"['126.9851714234', '37.5699120126']"
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층,02-481-9938,"['127.1559741804', '37.5526549472']"
상봉역점,서울특별시 중랑구 망우로 291 1층,02-493-8902,"['127.0847906791', '37.5964473768']"
문정역엠스테이트점,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147",02-6177-9080,"['127.12101636211123', '37.48547574443674']"
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113,02-449-6881,"['127.12233544885693', '37.48140858682901']"
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층,02-3478-5145,"['127.0245169907', '37.4974338814']"
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층,02-569-5838,"['127.0292807277', '37.498881615']"
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층,02-338-9463,"['126.9250869133', '37.5568283344']"
역삼동태광타워점,서울시 강남구 역삼동 718-20  태광타워 1층,02-569-9867,"['127.0398849909', '37.5010229051']"
문래동점,서울시 영등포구 문래동6가 5번지 1층,02-2069-3157,"['126.8890435931', '37.5196463349']"
매헌역점,서울시 서초구 동산로 1  1층,02-2058-0921,"['127.0401392782', '37.46900819']"
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,02-569-9061,"['127.025591466622', '37.5045335804035']"
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층,02-376-9162,"['126.887936022633', '37.5824700686653']"
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501,"['127.058290971152', '37.5058951024001']"
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363,"['127.0628870', '37.5070560']"
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층,02-471-2372,"['127.128258', '37.524348']"
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235,"['127.1015360', '37.5070100']"
신천역점,서울시 송파구 올림픽로100 효창타워1층,02-417-8851,"['127.0816780', '37.5113770']"
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,02-458-8166,"['127.1030010', '37.5441840']"
강남역세계빌딩점,서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053,"['127.0257230', '37.4985130']"
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층,02-792-3560,"['126.9984810', '37.5346900']"
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,"['126.9296840', '37.5217690']"
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360,"['126.9740365469', '37.5727716496']"
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,"['127.0608089556', '37.5091915107']"
